,Vuze Idle,,,,Vuze Leech,,,
,mean Watt,pv,dx mean,pv,mean Watt,pv,dx mean,pv
Added Lines,-0.031,0.843,0.151,0.328,-0.031,0.843,0.151,0.328
Removed Lines,-0.154,0.319,-0.038,0.806,-0.154,0.319,-0.038,0.806
Churned Lines,-0.040,0.795,0.119,0.440,-0.040,0.795,0.119,0.440
TotalFiles,-0.108,0.484,0.006,0.969,-0.108,0.484,0.006,0.969
File Churn,0.085,0.584,0.063,0.686,0.085,0.584,0.063,0.686
ChurnCount,0.085,0.585,0.168,0.274,0.085,0.585,0.168,0.274
LOC,-0.055,0.725,0.123,0.427,-0.055,0.725,0.123,0.427
ChurnLOC,-0.046,0.767,0.105,0.499,-0.046,0.767,0.105,0.499
mean Watt,1.000,          NA,0.556,0.000,1.000,           NA,0.556,0.000
dx mean,0.556,0.000,1.000,           NA,0.556,0.000,1.000,           NA
