DIR1	DIR2	ADD	REMOVE	Churn	TotalFiles	TouchedFiles	FileChurn	ChurnCount	LOC	ChurnLOC
libtorrent-0.10.0	libtorrent-0.11.0	3192	1723	4915	190	107	0.563157894736842	107	37296	0.131783569283569
libtorrent-0.11.0	libtorrent-0.11.1	360	155	515	192	26	0.135416666666667	26	37734	0.0136481687602693
libtorrent-0.11.1	libtorrent-0.11.2	3954	4297	8251	191	36	0.18848167539267	36	37282	0.221313234268548
libtorrent-0.11.2	libtorrent-0.11.3	2141	1393	3534	192	39	0.203125	39	38104	0.0927461683812723
libtorrent-0.11.3	libtorrent-0.11.5	191	49	240	192	14	0.0729166666666667	14	38246	0.00627516603043456
libtorrent-0.11.5	libtorrent-0.11.6	439	277	716	192	187	0.973958333333333	187	38408	0.0186419495938346
libtorrent-0.11.6	libtorrent-0.12.0	2683	1204	3887	209	80	0.382775119617225	80	44087	0.088166579717377
libtorrent-0.12.0	libtorrent-0.12.2	296	54	350	209	22	0.105263157894737	22	44221	0.00791479161484363
libtorrent-0.12.2	libtorrent-0.12.5	8161	6201	14362	211	77	0.364928909952607	77	46430	0.309325866896403
libtorrent-0.12.5	libtorrent-0.12.6	91	25	116	211	12	0.0568720379146919	12	46496	0.00249483826565726
libtorrent-0.12.6	libtorrent-0.12.7	3680	1685	5365	233	89	0.381974248927039	89	50814	0.105581139056166
libtorrent-0.12.7	libtorrent-0.12.8	2244	1122	3366	244	50	0.204918032786885	50	53004	0.0635046411591578
libtorrent-0.12.8	libtorrent-0.12.9	103	48	151	244	11	0.0450819672131148	11	53059	0.00284588853917337
libtorrent-0.12.9	libtorrent-0.13.0	2614	1101	3715	263	214	0.813688212927757	214	57893	0.0641701069213895
libtorrent-0.13.0	libtorrent-0.7.0	6479	12994	19473	160	48	0.3	48	24171	0.805634851681767
libtorrent-0.7.0	libtorrent-0.8.0	4875	2496	7371	170	78	0.458823529411765	78	29290	0.251655855240697
libtorrent-0.8.0	libtorrent-0.9.0	2793	2139	4932	172	131	0.761627906976744	131	31206	0.158046529513555
